QuizName,QuizClass,FirstName,LastName,ZipGradeID,ExternalID,EarnedPts,PossiblePts,PercentCorrect,QuizCreated,DataExported,KeyVersion,Stu1,Key1,EarnedPt1,PossPt1,Stu2,Key2,EarnedPt2,PossPt2,Stu3,Key3,EarnedPt3,PossPt3,Stu4,Key4,EarnedPt4,PossPt4,Stu5,Key5,EarnedPt5,PossPt5,Stu6,Key6,EarnedPt6,PossPt6,Stu7,Key7,EarnedPt7,PossPt7,Stu8,Key8,EarnedPt8,PossPt8,Stu9,Key9,EarnedPt9,PossPt9,Stu10,Key10,EarnedPt10,PossPt10,Stu11,Key11,EarnedPt11,PossPt11,Stu12,Key12,EarnedPt12,PossPt12,Stu13,Key13,EarnedPt13,PossPt13,Stu14,Key14,EarnedPt14,PossPt14,Stu15,Key15,EarnedPt15,PossPt15,Stu16,Key16,EarnedPt16,PossPt16,Stu17,Key17,EarnedPt17,PossPt17,Stu18,Key18,EarnedPt18,PossPt18,Stu19,Key19,EarnedPt19,PossPt19,Stu20,Key20,EarnedPt20,PossPt20,Stu21,Key21,EarnedPt21,PossPt21,Stu22,Key22,EarnedPt22,PossPt22,Stu23,Key23,EarnedPt23,PossPt23,Stu24,Key24,EarnedPt24,PossPt24,Stu25,Key25,EarnedPt25,PossPt25,Stu26,Key26,EarnedPt26,PossPt26,Stu27,Key27,EarnedPt27,PossPt27,Stu28,Key28,EarnedPt28,PossPt28,Stu29,Key29,EarnedPt29,PossPt29,Stu30,Key30,EarnedPt30,PossPt30,Stu31,Key31,EarnedPt31,PossPt31,Stu32,Key32,EarnedPt32,PossPt32,Stu33,Key33,EarnedPt33,PossPt33,Stu34,Key34,EarnedPt34,PossPt34,Stu35,Key35,EarnedPt35,PossPt35,Stu36,Key36,EarnedPt36,PossPt36,Stu37,Key37,EarnedPt37,PossPt37,Stu38,Key38,EarnedPt38,PossPt38,Stu39,Key39,EarnedPt39,PossPt39,Stu40,Key40,EarnedPt40,PossPt40,Stu41,Key41,EarnedPt41,PossPt41,Stu42,Key42,EarnedPt42,PossPt42,Stu43,Key43,EarnedPt43,PossPt43,Stu44,Key44,EarnedPt44,PossPt44,Stu45,Key45,EarnedPt45,PossPt45,Stu46,Key46,EarnedPt46,PossPt46,Stu47,Key47,EarnedPt47,PossPt47,Stu48,Key48,EarnedPt48,PossPt48,Stu49,Key49,EarnedPt49,PossPt49,Stu50,Key50,EarnedPt50,PossPt50
APCS-A 2014 Practice Exam,APCS-A (2nd),Larry,Ellison,53643,,14,40,35,Apr 27 2018 10:09 AM,May 02 2018 02:14 PM,A,C,C,1,1,D,A,0,1,B,B,1,1,C,C,1,1,C,C,1,1,E,E,1,1,D,D,1,1,B,C,0,1,B,B,1,1,B,B,1,1,D,B,0,1,E,C,0,1,A,B,0,1,C,E,0,1,E,A,0,1,B,D,0,1,C,C,1,1,E,B,0,1,B,B,1,1,A,E,0,1,D,D,1,1,E,B,0,1,B,B,1,1,C,D,0,1,B,D,0,1,D,A,0,1,D,D,1,1,A,E,0,1,A,E,0,1,D,C,0,1,B,C,0,1,C,C,1,1,B,E,0,1,A,B,0,1,A,E,0,1,E,C,0,1,B,D,0,1,C,A,0,1,C,D,0,1,A,C,0,1,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0
APCS-A 2014 Practice Exam,APCS-A (2nd),Guido,Van Rossum,95620,,37,40,92.5,Apr 26 2018 10:08 AM,May 02 2018 02:14 PM,A,C,C,1,1,A,A,1,1,B,B,1,1,C,C,1,1,C,C,1,1,E,E,1,1,D,D,1,1,C,C,1,1,B,B,1,1,B,B,1,1,B,B,1,1,C,C,1,1,B,B,1,1,E,E,1,1,E,A,0,1,D,D,1,1,C,C,1,1,B,B,1,1,B,B,1,1,E,E,1,1,D,D,1,1,B,B,1,1,A,B,0,1,D,D,1,1,D,D,1,1,A,A,1,1,D,D,1,1,E,E,1,1,E,E,1,1,C,C,1,1,C,C,1,1,C,C,1,1,E,E,1,1,B,B,1,1,E,E,1,1,C,C,1,1,D,D,1,1,A,A,1,1,E,D,0,1,C,C,1,1,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0
APCS-A 2014 Practice Exam,APCS-A (2nd),Bill,Gates,34782,,34,40,85,Apr 26 2018 10:24 AM,May 02 2018 02:14 PM,A,C,C,1,1,A,A,1,1,B,B,1,1,C,C,1,1,C,C,1,1,E,E,1,1,D,D,1,1,C,C,1,1,B,B,1,1,B,B,1,1,B,B,1,1,C,C,1,1,B,B,1,1,D,E,0,1,A,A,1,1,D,D,1,1,C,C,1,1,B,B,1,1,B,B,1,1,E,E,1,1,D,D,1,1,C,B,0,1,D,B,0,1,D,D,1,1,D,D,1,1,A,A,1,1,D,D,1,1,E,E,1,1,E,E,1,1,C,C,1,1,B,C,0,1,C,C,1,1,E,E,1,1,E,B,0,1,E,E,1,1,C,C,1,1,D,D,1,1,A,A,1,1,D,D,1,1,A,C,0,1,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0
APCS-A 2014 Practice Exam,APCS-A (2nd),James,Gosling,23472,,30,40,75,Apr 26 2018 10:03 AM,May 02 2018 02:14 PM,A,C,C,1,1,A,A,1,1,B,B,1,1,C,C,1,1,C,C,1,1,E,E,1,1,D,D,1,1,C,C,1,1,B,B,1,1,C,B,0,1,B,B,1,1,B,C,0,1,B,B,1,1,E,E,1,1,A,A,1,1,D,D,1,1,C,C,1,1,B,B,1,1,D,B,0,1,E,E,1,1,D,D,1,1,,B,0,1,C,B,0,1,D,D,1,1,E,D,0,1,A,A,1,1,D,D,1,1,D,E,0,1,E,E,1,1,C,C,1,1,C,C,1,1,C,C,1,1,E,E,1,1,B,B,1,1,E,E,1,1,C,C,1,1,D,D,1,1,B,A,0,1,E,D,0,1,E,C,0,1,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0
APCS-A 2014 Practice Exam,APCS-A (2nd),George,Boole,10101,,20,40,50,Apr 26 2018 10:22 AM,May 02 2018 02:14 PM,A,C,C,1,1,A,A,1,1,B,B,1,1,B,C,0,1,C,C,1,1,E,E,1,1,D,D,1,1,C,C,1,1,B,B,1,1,C,B,0,1,A,B,0,1,C,C,1,1,B,B,1,1,D,E,0,1,D,A,0,1,B,D,0,1,C,C,1,1,B,B,1,1,A,B,0,1,E,E,1,1,B,D,0,1,A,B,0,1,D,B,0,1,C,D,0,1,E,D,0,1,A,A,1,1,C,D,0,1,E,E,1,1,D,E,0,1,C,C,1,1,A,C,0,1,C,C,1,1,E,E,1,1,B,B,1,1,C,E,0,1,C,C,1,1,A,D,0,1,D,A,0,1,B,D,0,1,A,C,0,1,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0
APCS-A 2014 Practice Exam,APCS-A (2nd),Charles,Babbage,97867,,34,40,85,Apr 26 2018 10:20 AM,May 02 2018 02:14 PM,A,C,C,1,1,A,A,1,1,B,B,1,1,C,C,1,1,C,C,1,1,E,E,1,1,D,D,1,1,C,C,1,1,B,B,1,1,B,B,1,1,B,B,1,1,C,C,1,1,B,B,1,1,E,E,1,1,A,A,1,1,D,D,1,1,C,C,1,1,B,B,1,1,B,B,1,1,E,E,1,1,D,D,1,1,C,B,0,1,A,B,0,1,A,D,0,1,D,D,1,1,A,A,1,1,D,D,1,1,E,E,1,1,E,E,1,1,C,C,1,1,C,C,1,1,C,C,1,1,C,E,0,1,D,B,0,1,E,E,1,1,C,C,1,1,D,D,1,1,A,A,1,1,E,D,0,1,C,C,1,1,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0
APCS-A 2014 Practice Exam,APCS-A (2nd),Tim,Berners-Lee,58718,,19,40,47.5,Apr 26 2018 10:27 AM,May 02 2018 02:14 PM,A,C,C,1,1,A,A,1,1,B,B,1,1,C,C,1,1,B,C,0,1,E,E,1,1,B,D,0,1,C,C,1,1,B,B,1,1,B,B,1,1,B,B,1,1,B,C,0,1,A,B,0,1,B,E,0,1,D,A,0,1,A,D,0,1,C,C,1,1,A,B,0,1,A,B,0,1,C,E,0,1,D,D,1,1,C,B,0,1,D,B,0,1,D,D,1,1,A,D,0,1,C,A,0,1,D,D,1,1,D,E,0,1,B,E,0,1,D,C,0,1,B,C,0,1,B,C,0,1,E,E,1,1,E,B,0,1,E,E,1,1,C,C,1,1,D,D,1,1,A,A,1,1,D,D,1,1,A,C,0,1,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0
APCS-A 2014 Practice Exam,APCS-A (2nd),Grace,Hopper,19233,,36,40,90,Apr 26 2018 10:12 AM,May 02 2018 02:14 PM,A,C,C,1,1,A,A,1,1,B,B,1,1,C,C,1,1,C,C,1,1,E,E,1,1,D,D,1,1,C,C,1,1,B,B,1,1,B,B,1,1,B,B,1,1,C,C,1,1,B,B,1,1,E,E,1,1,A,A,1,1,D,D,1,1,C,C,1,1,B,B,1,1,D,B,0,1,E,E,1,1,D,D,1,1,D,B,0,1,B,B,1,1,D,D,1,1,D,D,1,1,B,A,0,1,D,D,1,1,E,E,1,1,E,E,1,1,C,C,1,1,C,C,1,1,C,C,1,1,E,E,1,1,B,B,1,1,E,E,1,1,C,C,1,1,D,D,1,1,A,A,1,1,E,D,0,1,C,C,1,1,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0
APCS-A 2014 Practice Exam,APCS-A (2nd),Sergey,Brin,12326,,33,40,82.5,Apr 26 2018 10:14 AM,May 02 2018 02:14 PM,A,C,C,1,1,A,A,1,1,B,B,1,1,C,C,1,1,C,C,1,1,E,E,1,1,D,D,1,1,C,C,1,1,B,B,1,1,E,B,0,1,B,B,1,1,C,C,1,1,B,B,1,1,E,E,1,1,A,A,1,1,D,D,1,1,B,C,0,1,A,B,0,1,B,B,1,1,E,E,1,1,D,D,1,1,B,B,1,1,A,B,0,1,D,D,1,1,B,D,0,1,A,A,1,1,D,D,1,1,E,E,1,1,E,E,1,1,C,C,1,1,C,C,1,1,C,C,1,1,E,E,1,1,B,B,1,1,C,E,0,1,C,C,1,1,D,D,1,1,A,A,1,1,C,D,0,1,C,C,1,1,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0
APCS-A 2014 Practice Exam,APCS-A (2nd),Linus,Torvalds,23806,,34,40,85,Apr 26 2018 10:18 AM,May 02 2018 02:14 PM,A,C,C,1,1,A,A,1,1,B,B,1,1,C,C,1,1,C,C,1,1,E,E,1,1,D,D,1,1,C,C,1,1,B,B,1,1,D,B,0,1,A,B,0,1,C,C,1,1,B,B,1,1,E,E,1,1,B,A,0,1,D,D,1,1,C,C,1,1,B,B,1,1,B,B,1,1,E,E,1,1,D,D,1,1,B,B,1,1,D,B,0,1,D,D,1,1,B,D,0,1,A,A,1,1,D,D,1,1,E,E,1,1,E,E,1,1,C,C,1,1,C,C,1,1,C,C,1,1,E,E,1,1,B,B,1,1,E,E,1,1,C,C,1,1,D,D,1,1,A,A,1,1,D,D,1,1,A,C,0,1,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0
