QuizName,QuizClass,FirstName,LastName,StudentID,CustomID,Earned Points,Possible Points,PercentCorrect,QuizCreated,DataExported,Key Version,Stu1,PriKey1,Points1,Mark1,Stu2,PriKey2,Points2,Mark2,Stu3,PriKey3,Points3,Mark3,Stu4,PriKey4,Points4,Mark4,Stu5,PriKey5,Points5,Mark5,Stu6,PriKey6,Points6,Mark6,Stu7,PriKey7,Points7,Mark7,Stu8,PriKey8,Points8,Mark8,Stu9,PriKey9,Points9,Mark9,Stu10,PriKey10,Points10,Mark10,Stu11,PriKey11,Points11,Mark11,Stu12,PriKey12,Points12,Mark12,Stu13,PriKey13,Points13,Mark13,Stu14,PriKey14,Points14,Mark14,Stu15,PriKey15,Points15,Mark15,Stu16,PriKey16,Points16,Mark16,Stu17,PriKey17,Points17,Mark17,Stu18,PriKey18,Points18,Mark18,Stu19,PriKey19,Points19,Mark19,Stu20,PriKey20,Points20,Mark20,Stu21,PriKey21,Points21,Mark21,Stu22,PriKey22,Points22,Mark22,Stu23,PriKey23,Points23,Mark23,Stu24,PriKey24,Points24,Mark24,Stu25,PriKey25,Points25,Mark25,Stu26,PriKey26,Points26,Mark26,Stu27,PriKey27,Points27,Mark27,Stu28,PriKey28,Points28,Mark28,Stu29,PriKey29,Points29,Mark29,Stu30,PriKey30,Points30,Mark30
Unit 4 Test,2nd Period,Walter,Lee,44304,,17,30,56.67,10/8/2019 0:00,10/10/2019 15:23,1,D,D,1,C,B,B,1,C,C,C,1,C,A,A,1,C,A,D,0,X,A,A,1,C,B,B,1,C,A,A,1,C,B,C,0,X,D,D,1,C,C,C,1,C,B,A,0,X,D,A,0,X,C,D,0,X,D,D,1,C,B,A,0,X,B,D,0,X,D,B,0,X,C,B,0,X,C,C,1,C,C,C,1,C,B,B,1,C,B,B,1,C,D,D,1,C,B,B,1,C,BD,BC,0,X,AD,CD,0,X,AD,BD,0,X,AD,AC,0,X,AC,AC,1,C
Unit 4 Test,2nd Period,Patrick,Coleman,77375,,25,30,83.33,10/8/2019 0:00,10/10/2019 15:23,2,B,B,1,C,B,B,1,C,C,C,1,C,A,A,1,C,B,B,1,C,A,A,1,C,C,C,1,C,A,A,1,C,C,C,1,C,D,B,0,X,D,D,1,C,D,D,1,C,C,C,1,C,B,B,1,C,B,B,1,C,A,A,1,C,A,A,1,C,B,B,1,C,C,C,1,C,B,B,1,C,D,D,1,C,B,B,1,C,D,C,0,X,B,B,1,C,A,C,0,X,BD,BD,1,C,BC,BC,1,C,BD,AD,0,X,AB,AB,1,C,BC,BD,0,X
Unit 4 Test,6th Period,Denise,Simmons,33176,,24,30,80,10/8/2019 0:00,10/10/2019 15:23,1,D,D,1,C,B,B,1,C,C,C,1,C,B,A,0,X,D,D,1,C,A,A,1,C,B,B,1,C,A,A,1,C,B,C,0,X,D,D,1,C,C,C,1,C,A,A,1,C,A,A,1,C,D,D,1,C,A,D,0,X,C,A,0,X,D,D,1,C,B,B,1,C,B,B,1,C,A,C,0,X,C,C,1,C,B,B,1,C,B,B,1,C,D,D,1,C,B,B,1,C,AD,BC,0,X,CD,CD,1,C,BD,BD,1,C,AC,AC,1,C,AC,AC,1,C
Unit 4 Test,2nd Period,Jean,Cook,76682,,23,30,76.67,10/8/2019 0:00,10/10/2019 15:23,1,D,D,1,C,B,B,1,C,C,C,1,C,D,A,0,X,A,D,0,X,B,A,0,X,B,B,1,C,A,A,1,C,C,C,1,C,A,D,0,X,C,C,1,C,A,A,1,C,A,A,1,C,D,D,1,C,D,D,1,C,C,A,0,X,D,D,1,C,B,B,1,C,A,B,0,X,C,C,1,C,C,C,1,C,B,B,1,C,B,B,1,C,D,D,1,C,B,B,1,C,BD,BC,0,X,CD,CD,1,C,BD,BD,1,C,AC,AC,1,C,AC,AC,1,C
Unit 4 Test,6th Period,Mary,Patterson,93124,,27,30,90,10/8/2019 0:00,10/10/2019 15:23,2,B,B,1,C,B,B,1,C,C,C,1,C,A,A,1,C,C,B,0,X,A,A,1,C,C,C,1,C,A,A,1,C,C,C,1,C,B,B,1,C,D,D,1,C,D,D,1,C,C,C,1,C,B,B,1,C,B,B,1,C,A,A,1,C,A,A,1,C,A,B,0,X,C,C,1,C,B,B,1,C,D,D,1,C,B,B,1,C,C,C,1,C,B,B,1,C,C,C,1,C,CD,BD,0,X,BC,BC,1,C,AD,AD,1,C,AB,AB,1,C,BD,BD,1,C
Unit 4 Test,6th Period,Harry,Clark,89968,,21,30,70,10/8/2019 0:00,10/10/2019 15:23,2,B,B,1,C,B,B,1,C,C,C,1,C,C,A,0,X,C,B,0,X,A,A,1,C,C,C,1,C,A,A,1,C,C,C,1,C,B,B,1,C,D,D,1,C,D,D,1,C,A,C,0,X,A,B,0,X,B,B,1,C,A,A,1,C,B,A,0,X,A,B,0,X,C,C,1,C,C,B,0,X,D,D,1,C,B,B,1,C,C,C,1,C,B,B,1,C,A,C,0,X,BD,BD,1,C,BC,BC,1,C,AD,AD,1,C,AC,AB,0,X,BD,BD,1,C
Unit 4 Test,2nd Period,Joshua,Williams,67223,,22,30,73.33,10/8/2019 0:00,10/10/2019 15:23,1,D,D,1,C,B,B,1,C,C,C,1,C,A,A,1,C,A,D,0,X,A,A,1,C,B,B,1,C,A,A,1,C,C,C,1,C,B,D,0,X,C,C,1,C,C,A,0,X,D,A,0,X,D,D,1,C,D,D,1,C,B,A,0,X,D,D,1,C,B,B,1,C,A,B,0,X,C,C,1,C,C,C,1,C,B,B,1,C,A,B,0,X,D,D,1,C,A,B,0,X,BC,BC,1,C,CD,CD,1,C,BD,BD,1,C,AC,AC,1,C,AC,AC,1,C
Unit 4 Test,6th Period,Douglas,Cox,47661,,15,30,50,10/8/2019 0:00,10/10/2019 15:23,1,D,D,1,C,B,B,1,C,C,C,1,C,B,A,0,X,A,D,0,X,A,A,1,C,D,B,0,X,D,A,0,X,B,C,0,X,B,D,0,X,B,C,0,X,D,A,0,X,A,A,1,C,D,D,1,C,D,D,1,C,A,A,1,C,D,D,1,C,D,B,0,X,D,B,0,X,C,C,1,C,C,C,1,C,C,B,0,X,D,B,0,X,D,D,1,C,B,B,1,C,CD,BC,0,X,BC,CD,0,X,CD,BD,0,X,AC,AC,1,C,AC,AC,1,C
Unit 4 Test,6th Period,Jessica,Foster,49541,,28,30,93.33,10/8/2019 0:00,10/10/2019 15:23,2,B,B,1,C,B,B,1,C,C,C,1,C,A,A,1,C,B,B,1,C,A,A,1,C,C,C,1,C,A,A,1,C,C,C,1,C,B,B,1,C,D,D,1,C,A,D,0,X,C,C,1,C,B,B,1,C,B,B,1,C,A,A,1,C,A,A,1,C,B,B,1,C,C,C,1,C,B,B,1,C,D,D,1,C,B,B,1,C,C,C,1,C,B,B,1,C,C,C,1,C,BD,BD,1,C,C,BC,0,X,AD,AD,1,C,AB,AB,1,C,BD,BD,1,C
Unit 4 Test,6th Period,Robert,Bailey,16346,,19,30,63.33,10/8/2019 0:00,10/10/2019 15:23,1,D,D,1,C,B,B,1,C,C,C,1,C,D,A,0,X,D,D,1,C,B,A,0,X,A,B,0,X,A,A,1,C,C,C,1,C,D,D,1,C,C,C,1,C,A,A,1,C,A,A,1,C,A,D,0,X,D,D,1,C,A,A,1,C,D,D,1,C,B,B,1,C,B,B,1,C,C,C,1,C,C,C,1,C,C,B,0,X,C,B,0,X,A,D,0,X,B,B,1,C,AC,BC,0,X,BC,CD,0,X,AB,BD,0,X,CD,AC,0,X,AC,AC,1,C
